model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
HUSTLER,,,SL,7240,6100,2170,1145,1155,,,7850,,2330,,6780,,3050,,7541,,,,MH,DK,,1,,,,D121,,4027,,,,,5,,5,,,5,5,,,,4,,4,,,,,,,,,,HUSTLER
ALACRITY III,,,SL,,,,,,,"""One off"".  Not the Alacrity small cruiser",9570,,3200,,8138,,2667,,,,,,,,,,,,,E189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALACRITY III
ALAN BUCHANON,Alan Buchanan,,10.4m CUTT,10300,,3230,,6000,,,12650,,4250,,10970,,3415,,12480,,1980,,,,,,,-,,,,128,,84,72/60,1,8,-,8,,,8,8,,7,,8,,8,,7,,,,,500 x 6mm,,,ALAN BUCHANON
ALAN PAPE 11.7m,,,KT,11700,,,3100/ 2640,12000,,,13100,8500,3500,,11.3,,4000,2800,14500,9950,,,,,,,,,,,,150,111/75,,,2,10,,9    -,,,6,9    -,6,8,,6,6,6,6,,,,,,,,,ALAN PAPE
ALAN PAPE 13.7m,,,KT,13700,,,,,,,15.6,11200,5600,,14,9540,4.64,,15.6,10800,,,,,,,,,,,,189,128/90,,,2 1,10,,10,,,10,10,7,8,,10,7,10,7,,,7,,6,8,,,ALAN PAPE
ALAN PAPE 40' No.1,,,CT,11900,,3744,,14400,,,14900,,4450,,13080,,5870,,14200,,-,,,,,,,,,,,189,,,,,10,,10,,,10,10,,8,,10,,10,,8,,,,,7,,,ALAN PAPE
ALAN PAPE 40' No.2,,,CT STEEL,14200,,3700,1800,14400,,,14900,,4450,,13080,,5870,,14200,,-,,MH,DK,,2,,,,E224,,189,,,,2,10,,10,,,10,10,,8,,10,,10,,8,,,,,7,,,ALAN PAPE
ALAN PAPE 42',,,CT,12900,,,,,,Spreader length; 1100. Jumper struts; 600.,15750,,4750,,14300,,5500,,15600,,,,,,,2,,,,237,,189,,99,,2,10,,8,,,10,8,,8,,10,,10,,8,-,,-,-,7,,1000,ALAN PAPE
ALAN PAPE 50',,,KT,15392,,4460,,23100,,,16900,12920,7840,,15230,9460,5840,3690,16500,10760,,,,,,,,,,,,206,150/105,,,2,12,,12,,10,12,12,10,10,,12,10,12,10,,,,,,,,,ALAN PAPE
ALBIN NOVA,,,SL,9870,,3150,1690,,1750,,10500,,3700 (4000,,12100,,4300,,10200,,,,,,,,,,,,,128,,,,1,7,,7,,,7,5,,,,7,,7,,,,,,,,,,ALBIN
ALCO 40,,,SL,15551,,,,,,,,,,,,,,,14300,,2006,,MH,KL,,1,,,,8760,,4040,,,,,,,10,,,10,10,,,,10,,10,,,,,,,,,,ALCO
ALEUTIAN 51,,,KT,15550,,,,,,,18288,,6401,,15443,12040,4267,3353,17983,13716,2988,2540,MH,KL,,2,1,,,E274,189/132,162,128/90,,,,,,12,,,12,12,8,10,,,,12,8,10,8,,10,8,,,,ALEUTIAN
